title,price,shipping,sold_date,img_link
Dragon Ball Z CCG SCORE ANDROID SAGA P10 PROMO Planet Vegeta,$10.00,$10.00,"Sold  Nov 13, 2022",https://i.ebayimg.com/thumbs/images/g/yq0AAOSw06pjcXrp/s-l225.jpg
Dragon Ball Z Dbz Score CCG Android 18 Hi-tech Cell Saga BGS 8 Mint Card #198,$63.79,$63.79,"Sold  Nov 13, 2022",https://i.ebayimg.com/thumbs/images/g/j4UAAOSwa9djaiIW/s-l225.jpg
Dragon Ball Z Dbz Score CCg Trunks Guardian Drill Ultra Rare Psa 8 Mint Card,$231.65,$231.65,"Sold  Nov 13, 2022",https://i.ebayimg.com/thumbs/images/g/4nYAAOSwLApjM6CX/s-l225.jpg
Dragon Ball Z Dbz Score CCg Android 16 Hi-tech Redemption Promo Psa 8 Mint Card,$18.13,$18.13,"Sold  Nov 13, 2022",https://i.ebayimg.com/thumbs/images/g/LjIAAOSwxdxjM6Fu/s-l225.jpg
PSA 10 SSG Son Goku Magnificent Might Dragon Ball Super BT17 138 SPR Gem Mint 💎,$34.00,$34.00,"Sold  Nov 11, 2022",https://i.ebayimg.com/thumbs/images/g/PuAAAOSwZi5jX0U7/s-l225.jpg
"2003 Dragon Ball Z Score Majin Vegeta, The Malicious Limited Foil Rare Mint 8.5",$122.54,$122.54,"Sold  Nov 10, 2022",https://i.ebayimg.com/thumbs/images/g/37gAAOSwvchjX4ur/s-l225.jpg
Shop on eBay,$20.00,$20.00,,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png
"DBZ CCG - Vegeta, Saiyan Prince - PSA 8 - Trunks Saga Rare Holo",$120.00,$120.00,"Sold  Nov 8, 2022",https://i.ebayimg.com/thumbs/images/g/6YkAAOSwzfljaddG/s-l225.jpg
2000 Dragonball Z DBZ Frieza Saga 125 Super Saiyan Goku Limited UR PSA 5 EX,$423.00,$423.00,"Sold  Nov 6, 2022",https://i.ebayimg.com/thumbs/images/g/2nwAAOSwuTFi0iDg/s-l225.jpg
Goku On Namek Lv 4 Foil Rare Dragon Ball Z DBZ CCG Frieza Saga Limited BGS 7.5,$175.00,$175.00,"Sold  Nov 5, 2022",https://i.ebayimg.com/thumbs/images/g/QdoAAOSwYZxjZabP/s-l225.jpg
Gohan The Winner Lv 4 Foil Rare Dragon Ball Z DBZ CCG Cell Saga Limited BGS 8.0,$375.00,$375.00,"Sold  Nov 5, 2022",https://i.ebayimg.com/thumbs/images/g/oQkAAOSwV4xjZafA/s-l225.jpg
Gohan Lv 4 Foil Rare Dragon Ball Z DBZ CCG Frieza Saga Limited BGS 8.0,$150.00,$150.00,"Sold  Nov 5, 2022",https://i.ebayimg.com/thumbs/images/g/1M0AAOSwIDZjZagm/s-l225.jpg
2001 Score Dragonball Z #157 Where There's Life There's Hope Trunks Saga - Foil ,$50.00,$50.00,"Sold  Nov 4, 2022",https://i.ebayimg.com/thumbs/images/g/ofgAAOSwvhNjZTfX/s-l225.jpg
Dragonball Z CCG SCORE - Full Majin Buu Ultra Rare BGS 7.5 #151 Saga Foil 2003,$152.75,$152.75,"Sold  Oct 31, 2022",https://i.ebayimg.com/thumbs/images/g/r1UAAOSwfi9jRSim/s-l225.jpg
